Round Number,Date,Location,Home Team,Away Team,Result
28,21/03/2021 00:00,Camp de Mestalla,Valencia,Granada,
28,21/03/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Sevilla,
28,21/03/2021 00:00,Estadio de la Cerámica,Villarreal,Cadiz,
29,04/04/2021 00:00,Mendizorroza,Alaves,Celta,
29,04/04/2021 00:00,Camp Nou,Barcelona,Valladolid,
29,04/04/2021 00:00,Ramón de Carranza,Cadiz,Valencia,
29,04/04/2021 00:00,Nuevo Los Cármenes,Granada,Villarreal,
29,04/04/2021 00:00,Estadio Ciutat de València,Levante,Huesca,
29,04/04/2021 00:00,Estadio El Sadar,Osasuna,Getafe,
29,04/04/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Elche,
29,04/04/2021 00:00,Reale Arena,Sociedad,Ath Bilbao,
29,04/04/2021 00:00,Ramón Sánchez-Pizjuán,Sevilla,Ath Madrid,
29,04/04/2021 00:00,Estadio Martínez Valero,Elche,Betis,
30,11/04/2021 00:00,Estadio San Mamés,Ath Bilbao,Alaves,
30,11/04/2021 00:00,Estadio Benito Villamarín,Betis,Ath Madrid,
30,11/04/2021 00:00,Estadio Abanca Balaídos,Celta,Sevilla,
30,11/04/2021 00:00,Municipal de Ipurua,Elche,Levante,
30,11/04/2021 00:00,Coliseum Alfonso Pérez,Getafe,Cadiz,
30,11/04/2021 00:00,El Alcoraz,Huesca,Elche,
30,11/04/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Barcelona,
30,11/04/2021 00:00,Camp de Mestalla,Valencia,Sociedad,
30,11/04/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Granada,
30,11/04/2021 00:00,Estadio de la Cerámica,Villarreal,Osasuna,
31,21/04/2021 00:00,Mendizorroza,Alaves,Villarreal,
31,21/04/2021 00:00,Wanda Metropolitano,Ath Madrid,Huesca,
31,21/04/2021 00:00,Camp Nou,Barcelona,Getafe,
31,21/04/2021 00:00,Estadio Benito Villamarín,Betis,Ath Bilbao,
31,21/04/2021 00:00,Ramón de Carranza,Cadiz,Real Madrid,
31,21/04/2021 00:00,Nuevo Los Cármenes,Granada,Elche,
31,21/04/2021 00:00,Estadio Ciutat de València,Levante,Sevilla,
31,21/04/2021 00:00,Estadio El Sadar,Osasuna,Valencia,
31,21/04/2021 00:00,Reale Arena,Sociedad,Celta,
31,21/04/2021 00:00,Estadio Martínez Valero,Elche,Valladolid,
32,25/04/2021 00:00,Estadio San Mamés,Ath Bilbao,Ath Madrid,
32,25/04/2021 00:00,Estadio Abanca Balaídos,Celta,Osasuna,
32,25/04/2021 00:00,Municipal de Ipurua,Elche,Sociedad,
32,25/04/2021 00:00,El Alcoraz,Huesca,Getafe,
32,25/04/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Betis,
32,25/04/2021 00:00,Ramón Sánchez-Pizjuán,Sevilla,Granada,
32,25/04/2021 00:00,Camp de Mestalla,Valencia,Alaves,
32,25/04/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Cadiz,
32,25/04/2021 00:00,Estadio de la Cerámica,Villarreal,Barcelona,
32,25/04/2021 00:00,Estadio Martínez Valero,Elche,Levante,
33,28/04/2021 00:00,Mendizorroza,Alaves,Huesca,
33,28/04/2021 00:00,Estadio San Mamés,Ath Bilbao,Valladolid,
33,28/04/2021 00:00,Wanda Metropolitano,Ath Madrid,Elche,
33,28/04/2021 00:00,Camp Nou,Barcelona,Granada,
33,28/04/2021 00:00,Estadio Benito Villamarín,Betis,Valencia,
33,28/04/2021 00:00,Coliseum Alfonso Pérez,Getafe,Real Madrid,
33,28/04/2021 00:00,Ramón de Carranza,Cadiz,Celta,
33,28/04/2021 00:00,Estadio Ciutat de València,Levante,Villarreal,
33,28/04/2021 00:00,Estadio El Sadar,Osasuna,Elche,
33,28/04/2021 00:00,Reale Arena,Sociedad,Sevilla,
34,02/05/2021 00:00,Estadio Abanca Balaídos,Celta,Levante,
34,02/05/2021 00:00,Municipal de Ipurua,Elche,Alaves,
34,02/05/2021 00:00,Nuevo Los Cármenes,Granada,Cadiz,
34,02/05/2021 00:00,El Alcoraz,Huesca,Sociedad,
34,02/05/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Osasuna,
34,02/05/2021 00:00,Ramón Sánchez-Pizjuán,Sevilla,Ath Bilbao,
34,02/05/2021 00:00,Camp de Mestalla,Valencia,Barcelona,
34,02/05/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Betis,
34,02/05/2021 00:00,Estadio de la Cerámica,Villarreal,Getafe,
34,02/05/2021 00:00,Estadio Martínez Valero,Elche,Ath Madrid,
35,09/05/2021 00:00,Mendizorroza,Alaves,Levante,
35,09/05/2021 00:00,Estadio San Mamés,Ath Bilbao,Osasuna,
35,09/05/2021 00:00,Camp Nou,Barcelona,Ath Madrid,
35,09/05/2021 00:00,Estadio Benito Villamarín,Betis,Granada,
35,09/05/2021 00:00,Coliseum Alfonso Pérez,Getafe,Elche,
35,09/05/2021 00:00,Ramón de Carranza,Cadiz,Huesca,
35,09/05/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Sevilla,
35,09/05/2021 00:00,Reale Arena,Sociedad,Elche,
35,09/05/2021 00:00,Camp de Mestalla,Valencia,Valladolid,
35,09/05/2021 00:00,Estadio de la Cerámica,Villarreal,Celta,
36,12/05/2021 00:00,Wanda Metropolitano,Ath Madrid,Sociedad,
36,12/05/2021 00:00,Estadio Abanca Balaídos,Celta,Getafe,
36,12/05/2021 00:00,Municipal de Ipurua,Elche,Betis,
36,12/05/2021 00:00,Nuevo Los Cármenes,Granada,Real Madrid,
36,12/05/2021 00:00,El Alcoraz,Huesca,Ath Bilbao,
36,12/05/2021 00:00,Estadio Ciutat de València,Levante,Barcelona,
36,12/05/2021 00:00,Estadio El Sadar,Osasuna,Cadiz,
36,12/05/2021 00:00,Ramón Sánchez-Pizjuán,Sevilla,Valencia,
36,12/05/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Villarreal,
36,12/05/2021 00:00,Estadio Martínez Valero,Elche,Alaves,
37,16/05/2021 00:00,Mendizorroza,Alaves,Granada,
37,16/05/2021 00:00,Estadio San Mamés,Ath Bilbao,Real Madrid,
37,16/05/2021 00:00,Wanda Metropolitano,Ath Madrid,Osasuna,
37,16/05/2021 00:00,Camp Nou,Barcelona,Celta,
37,16/05/2021 00:00,Estadio Benito Villamarín,Betis,Huesca,
37,16/05/2021 00:00,Coliseum Alfonso Pérez,Getafe,Levante,
37,16/05/2021 00:00,Ramón de Carranza,Cadiz,Elche,
37,16/05/2021 00:00,Reale Arena,Sociedad,Valladolid,
37,16/05/2021 00:00,Camp de Mestalla,Valencia,Elche,
37,16/05/2021 00:00,Estadio de la Cerámica,Villarreal,Sevilla,
38,23/05/2021 00:00,Estadio Abanca Balaídos,Celta,Betis,
38,23/05/2021 00:00,Municipal de Ipurua,Elche,Barcelona,
38,23/05/2021 00:00,Nuevo Los Cármenes,Granada,Getafe,
38,23/05/2021 00:00,El Alcoraz,Huesca,Valencia,
38,23/05/2021 00:00,Estadio Ciutat de València,Levante,Cadiz,
38,23/05/2021 00:00,Estadio El Sadar,Osasuna,Sociedad,
38,23/05/2021 00:00,Estadio Santiago Bernabéu,Real Madrid,Villarreal,
38,23/05/2021 00:00,Ramón Sánchez-Pizjuán,Sevilla,Alaves,
38,23/05/2021 00:00,Estadio Municipal José Zorrilla,Valladolid,Ath Madrid,
38,23/05/2021 00:00,Estadio Martínez Valero,Elche,Ath Bilbao,
