Round Number,Date,Location,Home Team,Away Team,Result
16,30/12/2020 18:15,Wanda Metropolitano,Ath Madrid,Getafe,1 - 0
16,30/12/2020 18:15,Estadio Abanca Bala√≠dos,Celta,Huesca,02-ÈÂ
16,30/12/2020 20:30,Estadio Mart√≠nez Valero,Elche,Real Madrid,01-ÈÂ
16,31/12/2020 13:00,Estadio San Mam√©s,Ath Bilbao,Sociedad,0 - 1
16,31/12/2020 15:15,Estadio El Sadar,Osasuna,Alaves,01-ÈÂ
17,02/01/2021 13:00,Estadio de la Cer√°mica,Villarreal,Levante,02-ÈÂ
17,02/01/2021 15:15,Estadio Benito Villamar√≠n,Betis,Sevilla,01-ÈÂ
17,02/01/2021 17:30,Coliseum Alfonso P√©rez,Getafe,Valladolid,0 - 1
17,02/01/2021 20:00,Estadio Alfredo Di St√©fano,Real Madrid,Celta,2 - 0
17,03/01/2021 13:00,Estadio San Mam√©s,Ath Bilbao,Elche,1 - 0
17,03/01/2021 15:15,Mendizorroza,Alaves,Ath Madrid,01-Ù·¯
17,03/01/2021 17:30,Municipal de Ipurua,Elche,Granada,2 - 0
17,03/01/2021 17:30,Reale Arena,Sociedad,Osasuna,01-ÈÂ
17,03/01/2021 20:00,El Alcoraz,Huesca,Barcelona,0 - 1
17,04/01/2021 20:00,Camp de Mestalla,Valencia,Cadiz,01-ÈÂ
17,06/01/2021 20:00,Estadio San Mam√©s,Ath Bilbao,Barcelona,02-Ó¯ı
18,08/01/2021 20:00,Estadio Abanca Bala√≠dos,Celta,Villarreal,0 - 4
18,09/01/2021 13:00,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Sociedad,03-Ù·¯
18,09/01/2021 15:15,Wanda Metropolitano,Ath Madrid,Ath Bilbao,
18,09/01/2021 17:30,Nuevo Los C√°rmenes,Granada,Barcelona,0 - 4
18,09/01/2021 20:00,Estadio El Sadar,Osasuna,Real Madrid,0 - 0
18,10/01/2021 13:00,Estadio Ciutat de Val√®ncia,Levante,Elche,02-ÈÂ
18,10/01/2021 15:15,Ram√≥n de Carranza,Cadiz,Alaves,03-ÈÂ
18,10/01/2021 20:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Valencia,0 - 1
18,11/01/2021 18:00,Estadio Mart√≠nez Valero,Elche,Getafe,
18,11/01/2021 20:00,El Alcoraz,Huesca,Betis,
18,12/01/2021 18:00,Nuevo Los C√°rmenes,Granada,Osasuna,
18,12/01/2021 20:30,Wanda Metropolitano,Ath Madrid,Sevilla,
19,19/01/2021 18:00,Ram√≥n de Carranza,Cadiz,Levante,
19,19/01/2021 18:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Elche,
19,19/01/2021 20:30,Mendizorroza,Alaves,Sevilla,
19,20/01/2021 18:00,Coliseum Alfonso P√©rez,Getafe,Huesca,
19,20/01/2021 20:00,Estadio Benito Villamar√≠n,Betis,Celta,
19,20/01/2021 20:30,Estadio de la Cer√°mica,Villarreal,Granada,
19,21/01/2021 18:00,Camp de Mestalla,Valencia,Osasuna,
19,21/01/2021 20:30,Municipal de Ipurua,Elche,Ath Madrid,
20,22/01/2021 20:00,Estadio Ciutat de Val√®ncia,Levante,Valladolid,
20,23/01/2021 13:00,El Alcoraz,Huesca,Villarreal,
20,23/01/2021 15:15,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Cadiz,
20,23/01/2021 17:30,Reale Arena,Sociedad,Betis,
20,23/01/2021 20:00,Mendizorroza,Alaves,Real Madrid,
20,24/01/2021 13:00,Estadio El Sadar,Osasuna,Granada,
20,24/01/2021 15:15,Estadio Mart√≠nez Valero,Elche,Barcelona,
20,24/01/2021 17:30,Estadio Abanca Bala√≠dos,Celta,Elche,
20,24/01/2021 20:00,Wanda Metropolitano,Ath Madrid,Valencia,
