Round Number,Date,Location,Home Team,Away Team,Result
37,16/05/2021 21:00,Matmut Atlantique,Bordeaux,Lens,
37,16/05/2021 21:00,Stade Gaston G̩rard,Dijon,Nantes,
37,16/05/2021 21:00,Stade Pierre-Mauroy,Lille,St Etienne,
37,16/05/2021 21:00,Stade du Moustoir,Lorient,Metz,
37,16/05/2021 21:00,Orange V̩lodrome,Marseille,Angers,
37,16/05/2021 21:00,Stade Louis II,Monaco,Rennes,
37,16/05/2021 21:00,Stade de la Mosson,Montpellier,Brest,
37,16/05/2021 21:00,Allianz Riviera,Nice,Strasbourg,
37,16/05/2021 21:00,Stade des Costi̬res,Nimes,Lyon,
37,16/05/2021 21:00,Parc des Princes,Paris SG,Reims,
38,23/05/2021 21:00,Stade Raymond Kopa,Angers,Lille,
38,23/05/2021 21:00,Stade Francis-Le Bl̩,Brest,Paris SG,
38,23/05/2021 21:00,Stade Bollaert-Delelis,Lens,Monaco,
38,23/05/2021 21:00,Groupama Stadium,Lyon,Nice,
38,23/05/2021 21:00,Stade Saint-Symphorien,Metz,Marseille,
38,23/05/2021 21:00,Stade de la Beaujoire,Nantes,Montpellier,
38,23/05/2021 21:00,Stade Auguste Delaune,Reims,Bordeaux,
38,23/05/2021 21:00,Roazhon Park,Rennes,Nimes,
38,23/05/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Dijon,
38,23/05/2021 21:00,Stade de la Meinau,Strasbourg,Lorient,
