Round Number,Date,Location,Home Team,Away Team,Result
9,28/11/2020 18:00,Ciro Vigorito,Benevento,Juventus,01-ינו
9,28/11/2020 20:45,Gewiss Stadium,Atalanta,Verona,0 - 2
9,29/11/2020 12:30,Olimpico,Lazio,Udinese,01-מרץ
9,29/11/2020 15:00,Renato Dall'Ara,Bologna,Crotone,1 - 0
9,29/11/2020 15:00,Giuseppe Meazza,Milan,Fiorentina,2 - 0
9,29/11/2020 18:00,Sardegna Arena,Cagliari,Spezia,02-פבר
9,29/11/2020 20:45,Diego Armando Maradona,Napoli,Roma,4 - 0
9,30/11/2020 18:30,Olimpico Grande Torino,Torino,Sampdoria,02-פבר
9,30/11/2020 20:45,Luigi Ferraris,Genoa,Parma,01-פבר
10,05/12/2020 15:00,Orogel Stadium,Spezia,Lazio,01-פבר
10,05/12/2020 18:00,Allianz Stadium,Juventus,Torino,02-ינו
10,05/12/2020 20:45,Giuseppe Meazza,Inter,Bologna,03-ינו
10,06/12/2020 12:30,Marcantonio Bentegodi,Verona,Cagliari,01-ינו
10,06/12/2020 15:00,Ennio Tardini,Parma,Benevento,0 - 0
10,06/12/2020 15:00,Olimpico,Roma,Sassuolo,0 - 0
10,06/12/2020 18:00,Ezio Scida,Crotone,Napoli,0 - 4
10,06/12/2020 20:45,Luigi Ferraris,Sampdoria,Milan,01-פבר
10,07/12/2020 20:45,Artemio Franchi,Fiorentina,Genoa,01-ינו
11,11/12/2020 20:45,Mapei Stadium,Sassuolo,Benevento,1 - 0
11,12/12/2020 15:00,Ezio Scida,Crotone,Spezia,04-ינו
11,12/12/2020 18:00,Olimpico Grande Torino,Torino,Udinese,02-מרץ
11,12/12/2020 20:45,Olimpico,Lazio,Verona,01-פבר
11,13/12/2020 12:30,Sardegna Arena,Cagliari,Inter,01-מרץ
11,13/12/2020 15:00,Gewiss Stadium,Atalanta,Fiorentina,3 - 0
11,13/12/2020 15:00,Renato Dall'Ara,Bologna,Roma,01-מאי
11,13/12/2020 15:00,Diego Armando Maradona,Napoli,Sampdoria,02-ינו
11,13/12/2020 18:00,Luigi Ferraris,Genoa,Juventus,01-מרץ
11,13/12/2020 20:45,Giuseppe Meazza,Milan,Parma,02-פבר
12,15/12/2020 18:30,Stadio Friuli,Udinese,Crotone,0 - 0
12,15/12/2020 20:45,Ciro Vigorito,Benevento,Lazio,01-ינו
12,16/12/2020 18:30,Allianz Stadium,Juventus,Atalanta,01-ינו
12,16/12/2020 20:45,Artemio Franchi,Fiorentina,Sassuolo,01-ינו
12,16/12/2020 20:45,Luigi Ferraris,Genoa,Milan,02-פבר
12,16/12/2020 20:45,Marcantonio Bentegodi,Verona,Sampdoria,01-פבר
12,16/12/2020 20:45,Ennio Tardini,Parma,Cagliari,0 - 0
12,16/12/2020 20:45,Alberto Picco,Spezia,Bologna,02-פבר
12,16/12/2020 20:45,Giuseppe Meazza,Inter,Napoli,1 - 0
12,17/12/2020 20:45,Olimpico,Roma,Torino,03-פבר
13,19/12/2020 15:00,Artemio Franchi,Fiorentina,Verona,01-ינו
13,19/12/2020 18:00,Luigi Ferraris,Sampdoria,Crotone,03-ינו
13,19/12/2020 20:45,Ennio Tardini,Parma,Juventus,0 - 4
13,20/12/2020 12:30,Olimpico Grande Torino,Torino,Bologna,01-ינו
13,20/12/2020 15:00,Ciro Vigorito,Benevento,Genoa,2 - 0
13,20/12/2020 15:00,Sardegna Arena,Cagliari,Udinese,01-ינו
13,20/12/2020 15:00,Giuseppe Meazza,Inter,Spezia,02-ינו
13,20/12/2020 15:00,Mapei Stadium,Sassuolo,Milan,01-פבר
13,20/12/2020 18:00,Gewiss Stadium,Atalanta,Roma,04-ינו
13,20/12/2020 20:45,Olimpico,Lazio,Napoli,2 - 0
14,22/12/2020 18:30,Ezio Scida,Crotone,Parma,02-ינו
14,22/12/2020 20:45,Allianz Stadium,Juventus,Fiorentina,0 - 3
14,23/12/2020 18:30,Marcantonio Bentegodi,Verona,Inter,01-פבר
14,23/12/2020 20:45,Renato Dall'Ara,Bologna,Atalanta,02-פבר
14,23/12/2020 20:45,Giuseppe Meazza,Milan,Lazio,03-פבר
14,23/12/2020 20:45,Diego Armando Maradona,Napoli,Torino,01-ינו
14,23/12/2020 20:45,Olimpico,Roma,Cagliari,03-פבר
14,23/12/2020 20:45,Luigi Ferraris,Sampdoria,Sassuolo,02-מרץ
14,23/12/2020 20:45,Alberto Picco,Spezia,Genoa,01-פבר
14,23/12/2020 20:45,Stadio Friuli,Udinese,Benevento,0 - 2
15,03/01/2021 12:30,Giuseppe Meazza,Inter,Crotone,06-פבר
15,03/01/2021 15:00,Gewiss Stadium,Atalanta,Sassuolo,05-ינו
15,03/01/2021 15:00,Sardegna Arena,Cagliari,Napoli,01-אפר
15,03/01/2021 15:00,Artemio Franchi,Fiorentina,Bologna,0 - 0
